"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1.35849484699877,0.19768034228265,0.0814356629883698,-0.0135365749410685,-0.00222968520480058,0.0450884308939521,-0.0292196109675764,-0.00171422610814536,0.0497085493275259,0.0679938234227919,-0.0631179532770686
"2",1.35848815069215,0.19767527095452,0.0814675196057967,-0.013537984209301,-0.00222704371616497,0.0451097965410861,-0.0292280793431134,-0.00171150833494883,0.0497296155258764,0.0680211995061137,-0.0631405675244404
"3",1.35850248198336,0.197731805138571,0.0813061196151665,-0.0135244191667792,-0.00223560257380573,0.0449946092242558,-0.0291746412267937,-0.00172112033587199,0.0496214324168249,0.067883043931674,-0.0630074492796548
"4",1.35849484699245,0.197680342285423,0.0814356630025166,-0.0135365749404255,-0.00222968520254096,0.0450884309060348,-0.0292196109688142,-0.00171422610635544,0.0497085493369728,0.0679938234364949,-0.0631179532844802
"5",1.35851527585076,0.197682671905552,0.081354634918803,-0.0135291959190173,-0.00223292246513322,0.0450388235117244,-0.0291971665106071,-0.00171787628552958,0.0496566875755311,0.0679248199786727,-0.0630627147846168
"6",1.3585328797687,0.19768131459908,0.0812820298645693,-0.0135211081282317,-0.00223440926425321,0.0449972802343651,-0.0291765274006644,-0.00171972914503452,0.0496111501174485,0.0678635065942915,-0.0630141483486468
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1.35848169413621,0.197723080377359,0.0814145200923326,-0.0135388734184672,-0.00223522156295357,0.0450597302019385,-0.0292087203647054,-0.0017205429229162,0.049689529210137,0.0679757899301383,-0.0630863040542437
"93",1.35848961701908,0.197673366643398,0.0814662572055172,-0.0135384191755818,-0.00222754848808314,0.0451085693396282,-0.0292285769146597,-0.00171193079499035,0.049728812877793,0.0680197373072955,-0.0631408325005217
"94",1.35852964414656,0.197677435280874,0.0813021055119451,-0.0135232179621141,-0.00223381323622762,0.0450084543423282,-0.0291833955298383,-0.0017186014264621,0.0496242181811714,0.0678795636538956,-0.0630293363656996
"95",1.35848815069216,0.197675270954438,0.0814675196059195,-0.0135379842093863,-0.00222704371622278,0.0451097965410979,-0.029228079343106,-0.00171150833503051,0.049729615525941,0.0680211995062856,-0.063140567524403
"96",1.35848815069217,0.197675270954473,0.0814675196058822,-0.0135379842093824,-0.00222704371622568,0.0451097965410588,-0.029228079343126,-0.00171150833502596,0.0497296155259115,0.0680211995062239,-0.0631405675244214
"97",1.35845621586575,0.197736537782783,0.0814725678984038,-0.0135365005763744,-0.00222654005534148,0.0450963652008126,-0.0292171296891397,-0.00171164968744587,0.0497276439426271,0.0680249983426411,-0.0631160848727706
"98",1.35850751802595,0.197665588124164,0.0813947539718541,-0.0135269727839253,-0.00222577641476253,0.0450693336929892,-0.0292083558586018,-0.00170922860636439,0.0496860818369782,0.0679573548749727,-0.0630944643425265
"99",1.35851525764911,0.197682686140199,0.081354676357898,-0.0135291999422739,-0.00223292129234855,0.0450388497853731,-0.0291971740541848,-0.00171787625159651,0.0496567124893069,0.0679248583039812,-0.0630627370067716
"100",1.35849484699172,0.197680342285799,0.0814356630042875,-0.0135365749406455,-0.0022296852025214,0.0450884309072271,-0.0292196109689334,-0.0017142261064626,0.0497085493380515,0.067993823438359,-0.0631179532851081
"101",1.35848568716387,0.197716771550491,0.0814088584967311,-0.0135378452537235,-0.00223468529789139,0.0450631574309483,-0.0292057841543979,-0.00172066924204979,0.0496870521825779,0.0679741849953012,-0.0630830584265702
