"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1.27099014750169,0.196848352619509,-0.0248544279609427,0.0139489837519195,0.00392011771947017,-0.00435094350488985,-0.00775991440063975,0.0290726830670623,0.00612196050281374,0.0217912248199551,0.00981297833654756
"2",1.27204803195015,0.197179412878456,-0.0213776558999072,0.0118601598546743,0.00326111882645689,-0.0038465245342141,-0.00671494410887452,0.0248707631135591,0.00513265165022574,0.0185679471118286,0.00831396344441275
"3",1.27098970477942,0.196848216028437,-0.0248558565094682,0.0139498521306043,0.00392039677469566,-0.00435114244788614,-0.0077603406385402,0.0290744198407958,0.00612237700265762,0.0217925619520711,0.00981360358744497
"4",1.27204803490121,0.197179411237894,-0.0213776578688628,0.0118601589187354,0.00326111717998853,-0.00384652529198097,-0.00671494544939526,0.0248707620279168,0.00513265107488586,0.0185679460877634,0.00831396192821327
"5",1.27098939809977,0.196848121652705,-0.0248568441971429,0.0139504531905993,0.00392059019695383,-0.00435128016669672,-0.00776063498367245,0.0290756209434357,0.00612266533631512,0.0217934870879654,0.00981403650278823
"6",1.27204803489203,0.197179411234981,-0.021377657899514,0.0118601589369516,0.00326111718564856,-0.00384652529659993,-0.00671494545867395,0.0248707620647893,0.00513265108339743,0.0185679461159418,0.0083139619412583
"7",1.27204803501897,0.197179411275434,-0.0213776574737841,0.0118601586843442,0.00326111710751055,-0.00384652523243701,-0.00671494532970126,0.0248707615533813,0.00513265096531258,0.018567945725185,0.0083139617606114
"8",1.27204804032529,0.197179410746559,-0.0213776605853785,0.0118601575800643,0.0032611147739428,-0.00384652638464874,-0.00671494733325935,0.0248707606710117,0.0051326502356723,0.0185679445285705,0.00831395970376434
"9",1.27098903518784,0.196848010051541,-0.0248580123005313,0.013951164085915,0.00392081880042734,-0.00435144281967042,-0.00776098313425655,0.0290770396401532,0.00612300698695087,0.021794580951518,0.0098145482733129
"10",1.27204803143541,0.197179412714404,-0.0213776576268939,0.0118601608792437,0.0032611191432625,-0.00384652479450262,-0.00671494463208715,0.0248707651878542,0.00513265212918881,0.0185679486967294,0.00831396417702696
"11",1.2720480318958,0.197179412861208,-0.0213776560822806,0.0118601599628594,0.00326111885990126,-0.00384652456171301,-0.00671494416412581,0.0248707633325969,0.00513265170079373,0.0185679472791805,0.00831396352176642
"12",1.27098888907299,0.19684796524369,-0.0248584817570432,0.0139514500214366,0.00392091088948049,-0.00435150804928295,-0.00776112298107212,0.0290776105009278,0.00612314439299405,0.0217950209163547,0.00981475420732654
"13",1.27204803199109,0.19717941289158,-0.0213776557626025,0.0118601597732032,0.0032611188012575,-0.00384652451353239,-0.00671494406727522,0.0248707629486287,0.00513265161213336,0.0185679469858025,0.00831396338615325
"14",1.27204803491043,0.197179411240837,-0.0213776578378902,0.0118601589003707,0.00326111717431904,-0.00384652528731275,-0.00671494544000919,0.0248707619907344,0.00513265106629934,0.0185679460593552,0.00831396191508817
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1.27204803179835,0.197179412830067,-0.0213776564092155,0.0118601601568328,0.00326111891988767,-0.00384652461097496,-0.0067149442631761,0.0248707637252939,0.00513265179147868,0.0185679475792358,0.00831396366047043
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1.27204803505432,0.197179411286711,-0.0213776573550988,0.0118601586139485,0.00326111708575819,-0.00384652521454913,-0.00671494529373988,0.0248707614108582,0.00513265093240167,0.0185679456162903,0.0083139617102858
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",246.587750769278,-156.980529319045,55.1977176687652,123.331716319178,112.091387367236,108.763006197613,76.0264962323621,124.718097674077,128.980279053653,126.535473162433,120.245561509824
"54",252.465513534193,-175.258116140643,60.6914885084606,124.770244759641,114.882289316282,113.271085644922,90.5145469858813,118.347944950332,136.174562332248,135.391462583358,121.457880988389
"55",257.398950574641,-190.745212397842,66.8318839204217,126.521523177474,118.067435753862,117.615147481788,105.61446187911,111.840479135808,143.985175187498,145.455737310904,122.755795512186
"56",261.243197793258,-203.55641174463,73.1992542575673,128.372140114378,121.368853747581,121.605114575656,120.551149916406,105.300840272907,152.105459086306,156.264124170443,123.920770298212
"57",263.921301182615,-213.844938361044,79.4143716052362,130.134901320786,124.533309899456,125.093118777097,134.660313647549,98.8250755758731,160.244461907002,167.325567712835,124.772353487466
"58",265.406731886837,-221.783689816482,85.1615904710894,131.655668120285,127.347855809017,127.970133663165,147.424053649821,92.4932902470149,168.130796034524,178.158559774293,125.175297009252
"59",265.709270641925,-227.553063519142,90.1990252124208,132.81484585381,129.646514523063,130.162117743613,158.481266136615,86.3674883403696,175.517134740803,188.322653384028,125.03961717468
"60",264.864337942911,-231.333746310008,94.3591978062325,133.525703959828,131.310817147133,131.625839402201,167.61873522167,80.4922553167271,182.185352647165,197.442576679186,124.316415398028
"61",262.925270520156,-233.302811831652,97.543376847411,133.731063693684,132.266486524691,132.344589600384,174.750130323121,74.8968980667882,187.95157681625,205.223532767451,122.991587036959
"62",259.957867325112,-233.631837158882,99.7122695187416,133.39932700874,132.478006770283,132.323962355894,179.889571959585,69.5981309529783,192.670265744318,211.457591814184,121.078855903509
"63",256.036560909648,-232.486134694698,100.875089858708,132.52040933599,131.942293161077,131.587836330441,183.124820412224,64.6027726719771,196.236635522962,216.022257956777,118.613012059103
"64",251.241687942121,-230.024515845115,101.078429702817,131.101870155302,130.682252291904,130.174643452625,184.593243045148,59.9101794328135,198.587094191036,218.873056536561,115.643826084599
"65",245.657467295882,-226.399239936958,100.395853803843,129.165373769542,128.740706493756,128.133971268686,184.46205336308,55.5143032174979,199.697683990054,220.032261593077,112.230844561386
"66",239.370415002883,-221.755964275815,98.9187432000848,126.743523770334,126.174935784523,125.523517702077,182.913123499722,51.405357210718,199.580791967836,219.57575189464,108.439106981599
"67",232.468022243084,-216.233616388157,96.7486182725271,123.877070909467,123.051945193653,122.406399548876,180.131967237814,47.5711183422039,198.280547525283,217.619602527174,104.335732859631
"68",225.037594716255,-209.964173566086,93.9909727518752,120.612476048717,119.444475463214,118.848806715158,176.300172391449,43.9979173109025,195.867387147031,214.307544455428,99.9872842014974
"69",217.16520213041,-203.072370454649,90.7505250177151,116.999804798101,115.427723812782,114.917989710356,171.590497372244,40.6713714361067,192.432252880953,209.799970878313,95.45779385799
"70",208.934719148995,-195.675371821639,87.1277249896183,113.090930680365,111.076715166839,110.680565559917,166.163921364648,37.5769126680259,188.080827837128,204.264799311428,90.8073516060426
"71",200.426958051006,-187.882451531307,83.2163267740409,108.938025097633,106.464253152223,106.201125411731,160.16806881324,34.7001565138724,182.928122968373,197.870232351671,86.0911487496652
"72",191.718902316284,-179.794714998734,79.1018349352515,104.592313292023,101.659377685061,101.54112497805,153.736567831871,32.0271499910696,177.093633627436,190.779291334915,81.3588937614654
"73",182.883052561106,-171.50489457353,74.8606451233365,100.103075498571,96.7262580059798,96.7580365436392,146.989024396898,29.5445293170283,170.697194918535,183.145906219868,76.6545234776512
"74",173.986894308245,-163.097237875812,70.55972031275,95.5168718321374,91.7234542692156,91.9047388787933,140.031391241189,27.2396114906889,163.855589217821,175.112309732442,72.0161454993197
"75",165.092492952564,-154.647499731315,66.256667184798,90.8769685664186,86.7034860286668,87.029119390746,132.956582250723,25.1004384177372,156.679900572307,166.807484206377,67.4761573843449
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
