,vbeta_0,vbeta_1,vu_1,vu_2,vu_3,vu_4,vu_5,vu_6,vu_7,vu_8,vu_9,vu_10,vu_11,vu_12,vu_13,vu_14,vu_15,vu_16,vu_17,vu_18,vu_19,sigma2_vu,rho
53,0.008003928,0.610534229,0.028077096,0.033223904,0.013177805,0.400852543,0.04463739,0.395279347,0.011426256,0.04383173,0.068451616,0.029489735,0.010621118,0.00978252,0.342253651,0.030154156,0.009973896,0.144430272,0.009620285,0.132597634,0.762285966,0.000263435,0.893385656
3,0.018470598,0.014687923,0.028482889,0.084644216,0.026722665,0.042353329,0.035608782,0.04522427,0.176473492,0.03557122,0.172187059,0.154197811,0.019483939,0.02175217,0.032807288,0.017065544,0.067921131,0.37539745,0.032386767,0.015478707,0.026478567,6.03E-05,0.435066474
65,0.065101413,-3.86E-05,0.441374182,0.044407586,0.191296682,0.01728307,0.063004451,0.705554735,0.149578339,0.295278256,0.88986564,0.104016112,0.528441471,0.462712611,0.281537836,0.322555865,0.9688573,0.334032967,0.020823912,0.043080908,0.608402777,0.001351833,0.840748144
63,0.077868127,0.66956665,0.637499445,0.614677986,0.083826575,0.280504027,0.402048468,0.275350576,0.660981618,0.289688891,0.732300978,0.004637879,0.065906659,0.08918209,0.392811275,0.754019193,0.853290843,0.400846795,0.357104325,0.262207636,0.488276642,3.22E-05,0.717182473
25,0.080226388,0.247670652,0.507402255,0.010520467,0.612281091,0.090682799,0.366712568,0.552351781,0.447365536,0.130932484,0.086793423,0.451788382,0.735092284,0.087663837,0.334175843,0.413573464,0.063831932,0.749237224,0.060922927,0.587132883,0.206850078,6.88E-05,0.693612635
99,0.12212571,0.855742625,0.241309841,0.191678472,0.197281795,0.181639233,0.196862142,0.265106977,0.146995218,0.202041847,0.213020225,0.254000056,0.176103512,0.145499373,0.142498187,0.197362961,0.172050019,0.226006388,0.199228313,0.245356634,0.221724779,0.098900468,0.956440839
67,0.13531545,0.796818399,0.420367921,0.550992042,0.178485909,0.514480571,0.195813703,0.154650362,0.17771198,0.303360385,0.209935875,0.234117781,0.219097874,0.586295686,0.163267385,0.206876435,0.18068523,0.20686878,0.195587342,0.224689427,0.218903984,0.056864545,0.895943404
32,0.189572343,0.902631441,0.429711192,0.387864433,0.497931353,0.258696528,0.268954811,0.25007279,0.308546856,0.384436051,0.283911645,0.41667251,0.277185958,0.256848238,0.196811999,0.519467612,0.253293593,0.233232914,0.320479555,0.339904651,0.31795139,0.129905481,0.958358374
44,0.206429282,0.796976916,0.236228874,0.253166063,0.26830074,0.19490763,0.310567507,0.219661492,0.692885576,0.246227086,0.430146495,0.254630998,0.234456581,0.212781743,0.229914136,0.252610394,0.239367089,0.294570301,0.492829121,0.233813221,0.395478433,0.111735188,0.90587452
42,0.228391163,0.896017649,0.631129566,0.420939951,0.321569198,0.342725634,0.405555914,0.424880752,0.283598425,0.260626678,0.272060129,0.305307398,0.58963714,0.340381011,0.285819338,0.372077687,0.315665123,0.392894852,0.265708623,0.450393449,0.343110893,0.236590982,0.9328659
50,0.230444932,0.926677847,0.465233415,0.421151337,0.359873169,0.471375182,0.440665318,0.374508831,0.367168364,0.366708026,0.337485205,0.340284686,0.37429407,0.405036167,0.369997045,0.423784492,0.372780378,0.348204288,0.304231579,0.31710188,0.351766994,0.210000299,0.930204969
72,0.237430849,0.873696765,0.308154821,0.382968038,0.357627489,0.299666386,0.263954901,0.507257608,0.258622518,0.314514355,0.253115744,0.36423564,0.268071841,0.228028707,0.367825151,0.701168163,0.338502822,0.265504021,0.251797007,0.439937796,0.469703493,0.134905099,0.932687825
37,0.240225693,0.92528903,0.36800175,0.521925836,0.286998098,0.274229031,0.282328187,0.357548315,0.291632069,0.450693132,0.461179175,0.281323419,0.642502509,0.261171838,0.387529907,0.288610529,0.304060212,0.363019992,0.250024834,0.346641105,0.281912041,0.275383822,0.942104482
77,0.254022976,0.937281445,0.327870712,0.393617934,0.37558875,0.320643621,0.340088771,0.33696989,0.348464507,0.342739417,0.305349597,0.423002771,0.504834836,0.319600529,0.306543571,0.31574132,0.309930962,0.415041748,0.399273145,0.262705222,0.356460261,0.152708726,0.974776761
76,0.268251022,0.502346218,0.224811398,0.331445978,0.317919997,0.316894017,0.329097137,0.280080433,0.405156942,0.353070261,0.430488655,0.384717544,0.374641384,0.299914836,0.37808621,0.346672206,0.330654842,0.264213319,0.337491994,0.498517196,0.39671238,0.243303017,0.708460946
78,0.272078442,0.063543234,0.102929091,0.063569683,0.036948583,0.019401207,0.887445687,0.390570677,0.101915894,0.989975633,-0.000897389,0.287007954,0.170387071,0.902880316,0.156344817,0.014256963,0.457997702,0.032277312,0.005442488,0.101545641,0.050733676,0.000476757,0.610342995
46,0.289689852,0.906835948,0.368051366,0.485363329,0.335560533,0.341581261,0.340834413,0.291675441,0.417685346,0.480681838,0.37214752,0.300686056,0.369671076,0.475008727,0.405497185,0.331386408,0.822594975,0.387642923,0.286907185,0.299754719,0.383293388,0.073461819,0.932387301
12,0.298518554,0.940427992,0.240589908,0.150591664,0.172825846,0.19345613,0.218865631,0.281014138,0.214818262,0.231559481,0.284469554,0.225319045,0.194360193,0.244932734,0.225030935,0.223257874,0.220033014,0.228350219,0.283594888,0.164684506,0.209365165,0.003344809,0.935455156
92,0.30477296,0.909051172,0.553448204,0.314740446,0.562179435,0.560913468,0.420855364,0.325247576,0.358332734,0.464623662,0.520452478,0.418733396,0.40153713,0.786014842,0.641240325,0.413107568,0.450271992,0.307887414,0.425714535,0.344795305,0.541198971,0.124759818,0.913477255
57,0.339473551,0.945037131,0.402658338,0.434048277,0.516348977,0.310955541,0.564920335,0.440247226,0.456273091,0.577490318,0.542607283,0.441854967,0.426793115,0.483126852,0.414721285,0.436950624,0.477030586,0.54417764,0.406853961,0.543949548,0.526286363,0.290171905,0.939517176
16,0.340050891,0.981433339,0.457183719,0.409993939,0.449377492,0.343013192,0.365618889,0.409912203,0.523817427,0.545759001,0.850535183,0.420527512,0.364309242,0.438793618,0.467004299,0.438022913,0.596292479,0.337125838,0.355192991,0.486789704,0.521697496,0.204567471,0.876039476
21,0.350955762,0.874025324,0.506343373,0.547873298,0.460313462,0.383326342,0.438887899,0.438659683,0.561744629,0.550041244,0.353252515,0.51043624,0.508735984,0.4683291,0.502568017,0.47506747,0.423240102,0.459515284,0.511937976,0.642741284,0.455471459,0.102576746,0.944095811
28,0.360763097,0.631684742,0.404275071,0.37425927,0.619588525,0.457599444,0.361564279,0.634801792,0.289994011,0.31556556,0.320886247,0.439134798,0.34789933,0.344986499,0.379729223,0.317737371,0.410289302,0.428675379,0.340882809,0.407886093,0.311002283,0.036902298,0.904420038
