,vbeta_0,vbeta_1,vu_1,vu_2,vu_3,vu_4,vu_5,vu_6,vu_7,vu_8,vu_9,vu_10,vu_11,vu_12,vu_13,vu_14,vu_15,vu_16,vu_17,vu_18,vu_19,sigma2_vu,rho
99,0.121584942,0.831148873,0.290548424,0.218092257,0.218954758,0.189066916,0.245614389,0.321141004,0.161447637,0.227564957,0.230208961,0.268207886,0.184734163,0.148863135,0.155972981,0.203756467,0.186020241,0.247171418,0.208779572,0.26143382,0.255984906,0.11082401,0.953466215
67,0.133079231,0.776067573,0.4366468,0.523555096,0.187633229,0.243624147,0.201639864,0.157599653,0.181120667,0.314641807,0.21778899,0.245743856,0.230337866,0.556730138,0.169294318,0.215018479,0.180307961,0.222815126,0.214920108,0.248654366,0.231201761,0.058996412,0.902089847
44,0.190279308,0.810814905,0.222491532,0.249038653,0.254462516,0.179935552,0.312741552,0.210221437,0.769633404,0.238363106,0.427244253,0.238615532,0.226938595,0.201100732,0.220846182,0.242067659,0.22827023,0.286268684,0.500756995,0.220036629,0.758756773,0.123635319,0.941817718
37,0.206720815,0.888414212,0.354922021,0.494395993,0.260346097,0.24368862,0.248329747,0.338172685,0.265416224,0.426304783,0.457176233,0.252533467,0.529514592,0.223587366,0.371629032,0.260264794,0.27772199,0.350583327,0.216442674,0.333241588,0.243526975,0.276050632,0.938466357
50,0.225762172,0.885486674,0.460933415,0.41991419,0.350936692,0.470171102,0.436383134,0.370003933,0.362779074,0.361269253,0.330538482,0.336292726,0.372031576,0.404501493,0.364785592,0.420784985,0.368333775,0.340872649,0.290506949,0.312006238,0.348461782,0.209621456,0.930708602
42,0.22635177,0.843486648,0.59485644,0.437535747,0.319793421,0.347121436,0.41459328,0.434103505,0.28080095,0.260502523,0.2725017,0.306893352,0.52982623,0.342977202,0.283910233,0.381243736,0.316551348,0.403224172,0.260931259,0.460158973,0.353473752,0.237785019,0.933762913
28,0.228097527,0.542545131,0.190963038,0.156681387,0.16489227,0.134484697,0.155503227,0.172656301,0.141232233,0.172391912,0.15373981,0.163772597,0.121957128,0.205546367,0.164269077,0.161803645,0.12381158,0.182238403,0.182593568,0.131502853,0.131305252,0.004256051,0.926936822
72,0.23419621,0.860058887,0.299695924,0.37484328,0.35062473,0.291464133,0.25031146,0.499608519,0.251044007,0.303767179,0.245253845,0.352930029,0.258371283,0.218803907,0.360565608,0.710284556,0.326960109,0.262591099,0.24403267,0.428900066,0.457076067,0.133110989,0.933020878
77,0.242619636,0.917787769,0.324985546,0.399976767,0.392644525,0.313884803,0.339862668,0.3383971,0.354887229,0.354216874,0.302831722,0.44005219,0.515957062,0.318633064,0.303345297,0.316770005,0.299495072,0.428604618,0.41836914,0.249717208,0.351806062,0.159649476,0.975358175
79,0.252595083,0.701218259,0.150619577,0.200164891,0.159791276,0.210890317,0.199178906,0.167060491,0.117369095,0.188305046,0.169962123,0.189555463,0.172110767,0.076104663,0.183516412,0.235573602,0.168457985,0.140144877,0.183097539,0.187906608,0.21549007,0.002389084,0.760561222
